,,Type of institution attended 7 8,Elementary/High School,College,University
Geography 3 5 6,Age group,Reference period,,,
,,,Percent,,
Newfoundland and Labrador,20 to 24 years,2000 / 2001,x,13B,23B
,,2005 / 2006,x,11B,26B
,,2006 / 2007,x,10B,27B
,,2007 / 2008,x,10B,28B
,,2008 / 2009,x,11B,28B
,,2009 / 2010,x,15B,22B
,,2010 / 2011,x,14B,20B
,,2011 / 2012,x,11B,25B
,,2012 / 2013,x,10B,25B
,,2013 / 2014,x,12B,24B
,,2014 / 2015,x,11B,24B
,,2015 / 2016,x,11B,23B
,,2016 / 2017,x,12B,23B
,,2017 / 2018,x,12B,25B
,,2018 / 2019,x,10B,34B
,,2019 / 2020,x,10B,24B
,,2020 / 2021,x,10C,30B
,,2021 / 2022,x,10C,31B
Prince Edward Island,,2000 / 2001,x,13B,20B
,,2005 / 2006,x,7C,22B
,,2006 / 2007,x,9B,24B
,,2007 / 2008,x,9B,26B
,,2008 / 2009,x,8C,24C
,,2009 / 2010,x,7C,26B
,,2010 / 2011,x,9C,26B
,,2011 / 2012,x,12B,26B
,,2012 / 2013,x,13B,26B
,,2013 / 2014,x,10B,27B
,,2014 / 2015,x,10B,28B
,,2015 / 2016,x,7B,23B
,,2016 / 2017,x,9C,28B
,,2017 / 2018,x,9B,27B
,,2018 / 2019,x,7C,26B
,,2019 / 2020,x,8C,23B
,,2020 / 2021,x,8C,27B
,,2021 / 2022,x,7C,28B
Nova Scotia,,2000 / 2001,1D,8B,23B
,,2005 / 2006,1D,5B,28B
,,2006 / 2007,1D,8B,27B
,,2007 / 2008,x,9B,25B
,,2008 / 2009,x,7B,23B
,,2009 / 2010,1D,11B,23B
,,2010 / 2011,1C,8B,26B
,,2011 / 2012,x,9B,27B
,,2012 / 2013,1D,10B,24B
,,2013 / 2014,x,8B,27B
,,2014 / 2015,x,9B,24B
,,2015 / 2016,x,9B,25B
,,2016 / 2017,1D,8B,28B
,,2017 / 2018,x,12B,26B
,,2018 / 2019,1D,10B,26B
,,2019 / 2020,1D,8B,25B
,,2020 / 2021,x,8B,27B
,,2021 / 2022,x,10B,28B
New Brunswick,,2000 / 2001,x,8B,18B
,,2005 / 2006,x,6B,26B
,,2006 / 2007,x,7B,27B
,,2007 / 2008,x,8B,23B
,,2008 / 2009,x,9B,20B
,,2009 / 2010,x,8B,22B
,,2010 / 2011,x,9B,22B
,,2011 / 2012,x,6B,26B
,,2012 / 2013,x,9B,26B
,,2013 / 2014,x,8B,20B
,,2014 / 2015,x,6C,22B
,,2015 / 2016,x,8B,26B
,,2016 / 2017,x,8B,22B
,,2017 / 2018,x,9B,20B
,,2018 / 2019,x,8C,22B
,,2019 / 2020,x,10B,20B
,,2020 / 2021,x,7C,23B
,,2021 / 2022,x,8B,21B
Quebec,,2000 / 2001,3B,11B,21B
,,2005 / 2006,4B,9B,26A
,,2006 / 2007,3B,11B,24A
,,2007 / 2008,3B,11B,25A
,,2008 / 2009,4B,12B,26A
,,2009 / 2010,4B,13B,25A
,,2010 / 2011,3B,12B,27A
,,2011 / 2012,3B,13B,30A
,,2012 / 2013,3B,14B,27A
,,2013 / 2014,4B,13B,27A
,,2014 / 2015,4B,14B,30A
,,2015 / 2016,4B,12B,30A
,,2016 / 2017,3B,14B,31A
,,2017 / 2018,3B,13B,32A
,,2018 / 2019,2B,13B,33A
,,2019 / 2020,2B,12B,32A
,,2020 / 2021,3C,15B,34A
,,2021 / 2022,2C,13B,35A
Ontario 9,,2000 / 2001,2B,14A,24A
,,2005 / 2006,1B,13A,28A
,,2006 / 2007,2B,13A,28A
,,2007 / 2008,2B,13A,28A
,,2008 / 2009,2B,13A,25A
